media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"300080","http://tdh.gov.tm/index.php/en/","Turkmenistan Today","ARG","AR-E","","","print_native","","","0.64","2018-04-30"
"300231","http://www.chrono-tm.org/en/","Chronicles of Turkmenistan | Publication of Turkmen Initiative for Human Rights","TKM","","en","Turkmenistan","digital_native","","","0.74","2016-11-14"
"300299","http://www.gundogar.org/?022000000000000000011000000","Гундогар :: English","TKM","","en","Turkmenistan","digital_native","","","0.0","2016-10-10"
"300588","http://www.turkmenistan.gov.tm/_eng/","Turkmenistan: golden age","TKM","","en","Turkmenistan","digital_native","","","0.0","2016-10-10"
"300589","http://www.turkmenistan.ru/en/","News | Turkmenistan.ru","TKM","","en","Turkmenistan","digital_native","","","0.0","2016-07-04"
"300590","http://www.turkmenistaninfo.ru/?lang_id=en","Turkmenistan - Analytic magazine","TKM","","en","Turkmenistan","print_native","","","0.0","2016-10-10"
"300591","http://www.turkmenistannews.net/","Current News in Turkmenistan|From a Regional Perspective","TKM","","en","none","digital_native","","","2.22","2018-05-07"
"300649","https://habartm.org/archives/category/news-in-english","News in English | Альтернативные новости Туркменистана","TKM","","en","Turkmenistan","digital_native","","","0.0","2016-08-08"
"653425","http://zamanturkmenistan.com/","Zaman - Turkmenistan","TKM","","tk","Turkmenistan","print_native","","","1.34","2018-01-08"
"658346","http://www.azathabar.com/","Azatlyk Radiosy","TKM","","tk","none","video_broadcast","","","1.02","2017-12-04"
"658347","https://habartm.org/","Alternativnie Novosti Turkmenistana","TKM","","ru","Turkmenistan","digital_native","","","0.0","2017-11-27"
"658348","http://arzuw.tm/","Arzuw News","TKM","","ru","none","digital_native","","","0.32","2018-03-19"
"658349","http://asgabat.net/","Asgabat","TKM","","ru","","digital_native","","","0.0","2017-10-23"
"658350","http://www.gundogar.org/","Gundogar (Russian)","TKM","","ru","","digital_native","","","0.0","2018-06-18"
"658351","http://gundogar-news.com/","Gundogar News","TKM","","ru","","digital_native","","","0.0","2017-12-18"
"658352","http://infoabad.com/","Infoabad","TKM","","ru","none","digital_native","","","0.0","2019-08-26"
"658353","http://www.chrono-tm.org/","Khronika Turkmenistana","TKM","","ru","none","digital_native","","","0.53","2018-01-15"
"658354","http://www.newscentralasia.net/","News Central Asia","TKM","","en","none","digital_native","","","0.11","2017-12-04"
"658356","http://www.turkmenbusiness.org/","Turkmen Business","TKM","","ru","none","digital_native","","","0.0","2017-11-13"
"658357","http://www.turkmeninform.com/ru/","Turkmen Inform (Russian)","TKM","","ru","none","digital_native","","","1.27","2017-10-23"
"658358","http://turkmenportal.com/","Turkmen Portal (Russian)","TKM","","ru","none","digital_native","","","1.87","2017-12-04"
"658359","http://turkmenportal.com/tm/","Turkmen Portal (Turkmen)","TKM","","tk","none","digital_native","","","0.7","2017-12-04"
"658361","http://www.turkmenistan.ru/ru/","Лента событий | Интернет-газета Turkmenistan.Ru","TKM","","ru","Turkmenistan","digital_native","","","0.37","2017-11-27"
"658362","http://www.turkmenistan.gov.tm/","Золотой век","TKM","","ru","","digital_native","","","0.0","2018-04-02"
"658363","http://www.turkmenistan.gov.tm/_tmt/","Turkmenistan (Turkmen)","TKM","","tk","","digital_native","","","0.0","2018-06-18"
"658364","http://www.turkmenistaninfo.ru/?lang_id=ru","Международный журнал Туркменистан","TKM","","ru","","print_native","","","0.0","2017-12-04"
"658365","http://turkmenistanlive.com/","Turkmenistan Live","TKM","","ru","none","digital_native","","","0.12","2017-12-18"
"658366","http://www.chrono-tm.org/tm/","Turkmenistanyn Hronikasy","TKM","","tk","Turkmenistan","digital_native","","","0.89","2017-12-04"
"658367","http://tdh.gov.tm/index.php/ru/","TDH (Russian)","TKM","","ru","","other","","","0.86","2018-06-18"
"658368","http://tdh.gov.tm/index.php/tm/","TDH (Turkmen)","TKM","","tk","","other","","","0.0","2018-06-18"
"1720585","https://tyy-news.gov.tm/catalogs","Türkmeniň ýüpek ýoly","","","","","","","","0.0","2020-10-12"
"1720586","https://metbugat.gov.tm/newspapers?id=11","Gazetler | TDNG","","","","","","","","0.0","2020-10-12"
"1720587","http://minjust.gov.tm/en","Adalat Ministry of Turkmenistan","","","","","","","","0.0","2020-10-19"
